https://hackerleague.org/hackathons/hackatec,Hackatec,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"São Paulo, Brazil",São Paulo,Brazil,"May 16th, 2015",52,,
https://hackerleague.org/hackathons/intel-r-iot-roadshow-taipei-taiwan,"Intel® IoT Roadshow Taipei, Taiwan",https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Taipei, Taiwan",Taipei,Taiwan,"May 16th-17th, 2015",52,,
https://hackerleague.org/hackathons/iot-world-hackathon,IoT World Hackathon,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"San Francisco, California",San Francisco,California,"May 12th-13th, 2015",52,,
https://hackerleague.org/hackathons/zillow-univ-of-washington-white-house-hack-housing-empowering-smarter-decisions,"Zillow, Univ. of Washington, White House: ""Hack Housing: Empowering Smarter Decisions""",https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Seattle, WA",Seattle,WA,"Feb 6th-8th, 2015",49,,
https://hackerleague.org/hackathons/anheuser-busch-inbev-beer-garage-hackathon-london,Anheuser-Busch InBev Beer Garage Hackathon London,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"London, United Kingdom",London,United Kingdom,"Feb 6th-8th, 2015",49,,
https://hackerleague.org/hackathons/the-great-escape-multiplayer-online-coding-competition,The Great Escape - Multiplayer Online Coding Competition,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"San Francisco, CA",San Francisco,CA,"Feb 6th-20th, 2015",49,,
https://hackerleague.org/hackathons/hackfest-uvi,HackFest UVI,https://hackerleague.org/assets/logos/medium/missing-75bbe22f2e592dd87154488084cd75b6.png,"St. Thomas, US",St. Thomas,US,"Feb 6th-7th, 2015",49,,
https://hackerleague.org/hackathons/madison-number-1-programming-club-coding-contest,Madison #1 Programming Club Coding Contest,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Phoenix, AZ",Phoenix,AZ,"Feb 2nd-May 4th, 2015",49,,
https://hackerleague.org/hackathons/social-good-hacks,Social Good Hacks,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Bronx, New York",Bronx,New York,"Jan 31st, 2015",48,,
https://hackerleague.org/hackathons/texas-vs-indiana-challenge,Texas vs Indiana Challenge ,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Austin, Texas",Austin,Texas,"Jan 31st-Feb 23rd, 2015",48,,
https://hackerleague.org/hackathons/dbc-nyc-hackathon-2015,DBC NYC HACKATHON 2015,https://hackerleague.org/assets/logos/medium/missing-75bbe22f2e592dd87154488084cd75b6.png,"New York, NY",New York,NY,"Jan 31st, 2015",48,,
https://hackerleague.org/hackathons/beacon-hack-day-new-york,Beacon Hack Day New York,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"New York, New York",New York,New York,"Jan 31st, 2015",48,,
https://hackerleague.org/hackathons/polymer-hack-up,Polymer Hack Up,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Milan, Italy",Milan,Italy,"Jan 31st, 2015",48,,
https://hackerleague.org/hackathons/cal-poly-design-and-dev-hackathon-2015,Cal Poly Design & Dev Hackathon 2015,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"San Luis Obispo, California",San Luis Obispo,California,"Jan 30th-31st, 2015",48,,
https://hackerleague.org/hackathons/she-innovates,She Innovates,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Pittsburgh, Pennsylvania",Pittsburgh,Pennsylvania,"Jan 30th-Feb 1st, 2015",48,,
https://hackerleague.org/hackathons/2015-srii-health-data-challenge,2015 SRII Health Data Challenge,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"San Jose, CA",San Jose,CA,"May 11th-Jun 8th, 2015",52,,
https://hackerleague.org/hackathons/video-hack-day,Video Hack Day,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"New York, New York",New York,New York,"May 9th, 2015",52,,
https://hackerleague.org/hackathons/intel-r-iot-roadshow-new-york,Intel® IoT Roadshow New York,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"New York, New York",New York,New York,"May 9th-10th, 2015",52,,
https://hackerleague.org/hackathons/first-open-hack-rotterdam-hackathon,First Open Hack Rotterdam Hackathon,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Rotterdam, Netherlands",Rotterdam,Netherlands,"May 9th, 2015",52,,
https://hackerleague.org/hackathons/ecomhack-2015,ecomhack 2015,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Berlin, Germany",Berlin,Germany,"May 9th-10th, 2015",52,,
https://hackerleague.org/hackathons/wearhacks-toronto,WearHacks Toronto,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Toronto, Canada",Toronto,Canada,"May 8th-10th, 2015",52,,
https://hackerleague.org/hackathons/sales-hackathon,Sales Hackathon,https://hackerleague.org/assets/logos/medium/missing-75bbe22f2e592dd87154488084cd75b6.png,"San Luis Obispo, California",San Luis Obispo,California,"May 8th-9th, 2015",52,,
https://hackerleague.org/hackathons/popathon-future-of-storytelling-hackathon,Popathon - Future of Storytelling Hackathon,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Berlin, Germany",Berlin,Germany,"May 8th-9th, 2015",52,,
https://hackerleague.org/hackathons/wearables-hackathon,Wearables Hackathon,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Darmstadt, Germany",Darmstadt,Germany,"May 5th-6th, 2015",52,,
https://hackerleague.org/hackathons/scid-product-designathon,SCID Product Designathon,https://hackerleague.org/assets/logos/medium/missing-75bbe22f2e592dd87154488084cd75b6.png,"Santa Clara, California",Santa Clara,California,"May 2nd, 2015",52,,
https://hackerleague.org/hackathons/intx-hack,INTX Hack,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Chicago, Illinois",Chicago,Illinois,"May 2nd-3rd, 2015",52,,
https://hackerleague.org/hackathons/first-friday-hackathon-in-augusta-georgia,First Friday Hackathon in Augusta Georgia,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Augusta, Georgia",Augusta,Georgia,"May 1st, 2015",52,,
https://hackerleague.org/hackathons/adelphi-universitys-hack-the-library-2015,Adelphi University's Hack the Library 2015,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Garden City, New York",Garden City,New York,"Mar 13th-14th, 2015",50,,
https://hackerleague.org/hackathons/braincode-mobi-number-2-mobile-people-move-your-brains,BrainCode Mobi#2 || Mobile people – move your brains!,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Poznań, Poland",Poznań,Poland,"Mar 13th-14th, 2015",50,,
https://hackerleague.org/hackathons/journalism-hackathon-2015,Journalism Hackathon 2015,https://hackerleague.org/assets/logos/medium/missing-75bbe22f2e592dd87154488084cd75b6.png,"Austin, TX",Austin,TX,"Mar 12th, 2015",50,,
https://hackerleague.org/hackathons/ihr-hack-day,IHR Hack Day,https://hackerleague.org/assets/logos/medium/missing-75bbe22f2e592dd87154488084cd75b6.png,"New York, US",New York,US,"Mar 12th-13th, 2015",50,,
https://hackerleague.org/hackathons/esri-data-viz-app-challenge,Esri Data Viz App Challenge,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Countries, Around the World!",Countries,Around the World!,"Mar 11th-Apr 27th, 2015",50,,
https://hackerleague.org/hackathons/portland-hackster-hardware-weekend,Portland Hackster Hardware Weekend,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Portland, Oregon",Portland,Oregon,"Mar 7th-8th, 2015",50,,
https://hackerleague.org/hackathons/r-and-r-music-hackathon,R&R Music Hackathon,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Near Angel tube, London",Near Angel tube,London,"Mar 7th, 2015",50,,
https://hackerleague.org/hackathons/converge-hackathon,Converge Hackathon,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Milano, Italy",Milano,Italy,"Mar 7th, 2015",50,,
https://hackerleague.org/hackathons/hack-arizona,Hack Arizona,https://hackerleague.org/assets/logos/medium/missing-75bbe22f2e592dd87154488084cd75b6.png,"Tucson, Arizona",Tucson,Arizona,"Mar 6th-8th, 2015",50,,
https://hackerleague.org/hackathons/cornell-data-hackathon-2015,Cornell Data Hackathon 2015,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"New York, New York",New York,New York,"Mar 6th-8th, 2015",50,,
https://hackerleague.org/hackathons/at-and-t-tech-valley-civic-app-challenge,AT&T Tech Valley Civic App Challenge,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Tech Valley, NY",Tech Valley,NY,"Mar 4th-May 1st, 2015",50,,
https://hackerleague.org/hackathons/automatic-music-hackathon-2,Automatic Music Hackathon 2,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"New York, New York",New York,New York,"Feb 28th, 2015",49,,
https://hackerleague.org/hackathons/preply,Preply,https://hackerleague.org/assets/logos/medium/missing-75bbe22f2e592dd87154488084cd75b6.png,"Bangalore, India",Bangalore,India,"Apr 30th-May 1st, 2015",51,,
https://hackerleague.org/hackathons/bankathon,Bankathon,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Frankfurt am Main, Germany",Frankfurt am Main,Germany,"Apr 26th-28th, 2015",51,,
https://hackerleague.org/hackathons/qlik-hackathon-benefiting-medair-virtual-and-on-site,Qlik Hackathon Benefiting Medair - Virtual & On-site,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Dallas, Texas",Dallas,Texas,"Apr 26th, 2015",51,,
https://hackerleague.org/hackathons/tech-plus-hack-at-kua,TECH + HACK @ KUA,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Meriden, NH",Meriden,NH,"Apr 25th-26th, 2015",51,,
https://hackerleague.org/hackathons/soundscapes-hackathon,Soundscapes Hackathon,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"New York, NY",New York,NY,"Apr 25th, 2015",51,,
https://hackerleague.org/hackathons/ac-apps-challenge-2015-at-james-logan-high-school,AC Apps Challenge 2015  @ James Logan High School,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Union City, California",Union City,California,"Apr 25th, 2015",51,,
https://hackerleague.org/hackathons/justhack,justHack,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"New York, New York",New York,New York,"Apr 25th-26th, 2015",51,,
https://hackerleague.org/hackathons/hack-kean-2015,Hack Kean 2015,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Union, New Jersey",Union,New Jersey,"Apr 25th-26th, 2015",51,,
https://hackerleague.org/hackathons/speedhack-dot-io,SPEEDHACK.IO,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Berlin, Germany",Berlin,Germany,"Apr 25th, 2015",51,,
https://hackerleague.org/hackathons/apps-for-students,Apps for Students,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Leuven, Belgium",Leuven,Belgium,"Apr 25th-26th, 2015",51,,
https://hackerleague.org/hackathons/intel-r-iot-roadshow-berlin-germany,"Intel® IoT Roadshow Berlin, Germany",https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Berlin, Germany",Berlin,Germany,"Apr 25th-26th, 2015",51,,
https://hackerleague.org/hackathons/hack-epilepsy,HACK EPILEPSY,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Atlanta, GA,  and Brussels, Belgium",Atlanta,"GA,  and Brussels, Belgium","Apr 24th-26th, 2015",51,,
https://hackerleague.org/hackathons/hackharlem,HackHarlem,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"New York, United",New York,United,"Mar 21st, 2015",50,,
https://hackerleague.org/hackathons/media-hack-day-connected-car,Media Hack Day - Connected Car,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Berlin, Germany",Berlin,Germany,"Mar 21st-22nd, 2015",50,,
https://hackerleague.org/hackathons/sixhackathon-2015,SIXHackathon 2015,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Zurich, Switzerland",Zurich,Switzerland,"Mar 20th-21st, 2015",50,,
https://hackerleague.org/hackathons/tedison,Tedison,https://hackerleague.org/assets/logos/medium/missing-75bbe22f2e592dd87154488084cd75b6.png,"Somerville, Ma",Somerville,Ma,"Mar 15th-16th, 2015",50,,
https://hackerleague.org/hackathons/gunnhacks-spring-2015,GunnHacks Spring 2015,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Palo Alto, CA",Palo Alto,CA,"Mar 14th-15th, 2015",50,,
https://hackerleague.org/hackathons/san-francisco-hackster-hardware-weekend,San Francisco Hackster Hardware Weekend,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"San Francisco, California",San Francisco,California,"Mar 14th-15th, 2015",50,,
https://hackerleague.org/hackathons/intel-r-iot-roadshow-boston,Intel® IoT Roadshow Boston,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Somerville, Massachusetts",Somerville,Massachusetts,"Mar 14th-15th, 2015",50,,
https://hackerleague.org/hackathons/hack-and-art-number-5-interactive-art-community-hacking-and-performances,"HACK&ART#5: Interactive Art, Community, Hacking & Performances",https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Sabadell, Spain",Sabadell,Spain,"Mar 14th, 2015",50,,
https://hackerleague.org/hackathons/health-hack-3-dot-0-cologne,Health Hack 3.0 Cologne,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Köln, Germany",Köln,Germany,"Mar 14th-15th, 2015",50,,
https://hackerleague.org/hackathons/intel-r-iot-roadshow-milan-italy,"Intel® IoT Roadshow Milan, Italy",https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Milan, Italy",Milan,Italy,"Mar 14th-15th, 2015",50,,
https://hackerleague.org/hackathons/open-data-hackathon-freiburg,Open Data Hackathon Freiburg,https://hackerleague.org/assets/FFFFFF-0-c917bc2cf0b7238d729cb5549e8c667b.png,"Freiburg, Germany",Freiburg,Germany,"Mar 14th-15th, 2015",50,,
